oid,kod KTS,powiat,powierzchnia,rok,TERYT,Typ powiatu,TERYT województwa,Województwo,Dochody budżetów powiatów|ogółem
124,011212014000,proszowicki,415.0,2022,1214,powiat,12,małopolskie,6.636151741E7
125,011212313000,oświęcimski,406.0,2022,1213,powiat,12,małopolskie,2.3660252606E8
127,023015718000,ostrzeszowski,773.0,2022,3018,powiat,30,wielkopolskie,9.752306897E7
128,023216415000,szczecinecki,1766.0,2022,3215,powiat,32,zachodniopomorskie,1.5321545657E8
129,023216604000,goleniowski,1615.0,2022,3204,powiat,32,zachodniopomorskie,1.2267704309E8
130,030210321000,wałbrzyski,430.0,2022,0221,powiat,02,dolnośląskie,7.897548859E7
131,030210324000,ząbkowicki,802.0,2022,0224,powiat,02,dolnośląskie,1.1812569804E8
133,051011803000,łaski,618.0,2022,1003,powiat,10,łódzkie,6.339178973E7
134,060611020000,zamojski,1870.0,2022,0620,powiat,06,lubelskie,1.3620005218E8
135,061813608000,leżajski,584.0,2022,1808,powiat,18,podkarpackie,1.2825266843E8
136,062013904000,grajewski,967.0,2022,2004,powiat,20,podlaskie,7.430074769E7
123,071427306000,grójecki,1268.0,2022,1406,powiat,14,mazowieckie,1.5697186879E8
141,020811305000,słubicki,999.0,2022,0805,powiat,08,lubuskie,7.369518435E7
151,060611018000,tomaszowski,1487.0,2022,0618,powiat,06,lubelskie,1.0932214881E8
156,062013702000,białostocki,2977.0,2022,2002,powiat,20,podlaskie,2.2012853781E8
157,062013711000,sokólski,2054.0,2022,2011,powiat,20,podlaskie,1.3228979518E8
158,062013803000,bielski,1385.0,2022,2003,powiat,20,podlaskie,8.430845559E7
159,062013805000,hajnowski,1624.0,2022,2005,powiat,20,podlaskie,7.9942802E7
160,062013806000,kolneński,940.0,2022,2006,powiat,20,podlaskie,5.755688592E7
161,062013807000,łomżyński,1355.0,2022,2007,powiat,20,podlaskie,6.786873676E7
162,062013810000,siemiatycki,1459.0,2022,2010,powiat,20,podlaskie,9.834074001E7
168,020811409000,zielonogórski,1351.0,2022,0809,powiat,08,lubuskie,1.0124886438E8
169,020811410000,żagański,1131.0,2022,0810,powiat,08,lubuskie,1.038744605E8
170,020811411000,żarski,1393.0,2022,0811,powiat,08,lubuskie,1.4068410797E8
171,020811412000,wschowski,624.0,2022,0812,powiat,08,lubuskie,6.459721554E7
172,023216410000,myśliborski,1182.0,2022,3210,powiat,32,zachodniopomorskie,1.1955507526E8
173,030210420000,trzebnicki,1025.0,2022,0220,powiat,02,dolnośląskie,1.0663095904E8
174,031613101000,brzeski,876.0,2022,1601,powiat,16,opolskie,1.245221945E8
303,042214163000,Słupsk,43.0,2022,2263,miasto na prawach powiatu,22,pomorskie,0.0
