oid,kod KTS,powiat,powierzchnia,rok,TERYT,Typ powiatu,TERYT województwa,Województwo,Długość dróg dla rowerów|drogi dla rowerów na 100 km2
124,011212014000,proszowicki,415.0,2022,1214,powiat,12,małopolskie,0.27
125,011212313000,oświęcimski,406.0,2022,1213,powiat,12,małopolskie,11.25
127,023015718000,ostrzeszowski,773.0,2022,3018,powiat,30,wielkopolskie,4.5
128,023216415000,szczecinecki,1766.0,2022,3215,powiat,32,zachodniopomorskie,2.02
129,023216604000,goleniowski,1615.0,2022,3204,powiat,32,zachodniopomorskie,3.84
130,030210321000,wałbrzyski,430.0,2022,0221,powiat,02,dolnośląskie,1.58
131,030210324000,ząbkowicki,802.0,2022,0224,powiat,02,dolnośląskie,0.11
133,051011803000,łaski,618.0,2022,1003,powiat,10,łódzkie,3.62
134,060611020000,zamojski,1870.0,2022,0620,powiat,06,lubelskie,2.04
135,061813608000,leżajski,584.0,2022,1808,powiat,18,podkarpackie,3.63
136,062013904000,grajewski,967.0,2022,2004,powiat,20,podlaskie,1.91
123,071427306000,grójecki,1268.0,2022,1406,powiat,14,mazowieckie,2.11
141,020811305000,słubicki,999.0,2022,0805,powiat,08,lubuskie,4.11
151,060611018000,tomaszowski,1487.0,2022,0618,powiat,06,lubelskie,5.52
156,062013702000,białostocki,2977.0,2022,2002,powiat,20,podlaskie,5.32
157,062013711000,sokólski,2054.0,2022,2011,powiat,20,podlaskie,0.76
158,062013803000,bielski,1385.0,2022,2003,powiat,20,podlaskie,2.49
159,062013805000,hajnowski,1624.0,2022,2005,powiat,20,podlaskie,3.59
160,062013806000,kolneński,940.0,2022,2006,powiat,20,podlaskie,1.03
161,062013807000,łomżyński,1355.0,2022,2007,powiat,20,podlaskie,1.56
162,062013810000,siemiatycki,1459.0,2022,2010,powiat,20,podlaskie,2.47
168,020811409000,zielonogórski,1351.0,2022,0809,powiat,08,lubuskie,6.64
169,020811410000,żagański,1131.0,2022,0810,powiat,08,lubuskie,1.79
170,020811411000,żarski,1393.0,2022,0811,powiat,08,lubuskie,4.49
171,020811412000,wschowski,624.0,2022,0812,powiat,08,lubuskie,0.85
172,023216410000,myśliborski,1182.0,2022,3210,powiat,32,zachodniopomorskie,2.68
173,030210420000,trzebnicki,1025.0,2022,0220,powiat,02,dolnośląskie,6.02
174,031613101000,brzeski,876.0,2022,1601,powiat,16,opolskie,3.68
303,042214163000,Słupsk,43.0,2022,2263,miasto na prawach powiatu,22,pomorskie,124.22
186,023015717000,ostrowski,1160.0,2022,3017,powiat,30,wielkopolskie,10.65
187,023016002000,czarnkowsko-trzcianecki,1808.0,2022,3002,powiat,30,wielkopolskie,3.5
